Volume,Issue,Publication Year,Editor,Caption,Retail information,Photographer,date_column
180,2,1990,"Wintour, Anna","Upswept hair, burnished lips-two soft looks that are precursors to spring dressing. Here, on model Cindy","Earrings, $210. Martha, Trump Tower, NYC; Balliet's; Marie Leavell, Dallas. For clothing information see page",Patrick Demarchelier,1990_02_01
180,1,1990,"Wintour, Anna",,,,1990_01_01
179,12,1989,"Wintour, Anna","The new soft focus: a romantic silk blouse, natural makeup that emphasizes the eyes on model/actress Paulina","Blouse, $660. Bergdorf Goodman; Ultimo Ltd., Chicago; Bullock's. Earrings, $150. Martha; Neiman Marcus;",Patrick Demarchelier,1989_12_01
179,11,1989,"Wintour, Anna","The news is ""nude"" a skin-baring dress and pinky-beige shades of makeup on Michaela Bercu. Dress by Marc","Silk dress at Bergdorf Goodman; Suzy, Great Neck NY; Neiman Marcus. Earrings and bracelets at Bergdorf Goodman.",Patrick Demarchelier,1989_11_01
179,10,1989,"Wintour, Anna","Rich color—in the hot new suit from Paris and in makeup with an unexpectedly deep, velvety finish—on model",Pink and black wool crepe suit. Pink fabric by Gandini. Black fabric by Petillault.,Patrick Demarchelier,1989_10_01
179,9,1989,"Wintour, Anna","The ornamented approach to evening—a beaded suit, burnished makeup-on Naomi Campbell. Wild Berry Super","Gold bugle beads on wool crepe jacket, $3,460; pants, $2,790. To order at Anne Klein Stores, Minneapolis. Earrings at Butler & Wilson, Los",Patrick Demarchelier,1989_09_01
179,8,1989,"Wintour, Anna","All-American style--natural makeup, a blazer that works day or night--on Tatjana Patitz. Jacket by Donna Karan","Cashmere and wool jacket, $1,100. Silk bodysuit, also by Donna Karan New York, $445. Bloomingdale's; Ultimo",Peter Lindbergh,1989_08_01
179,7,1989,"Wintour, Anna","Modern glamour-a short, sequined dress, cropped hair, stronger makeup- on model Tatjana Patitz. Defining eyes:","Isaac Mizrahi silk chiffon dress, $2,300. Bergdorf Goodman; Ultimo Ltd., Chicago; Fred Hayman, Beverly Hills; I. Magnin.",Herb Ritts,1989_07_01
179,6,1989,"Wintour, Anna",Summer style at its simplest--on model Estelle Lefebure. Ralph Lauren Swimwear's cotton terry robe goes to the,,Peter Lindbergh,1989_06_01
179,5,1989,"Wintour, Anna","Madonna's cool summer style. (For more on Madonna, see page 342.) Here, makeup artist Francesca Tolot used","Anne Cole Collection nylon and spandex swimsuit, $41. Saks Fifth Avenue.",Patrick Demarchelier,1989_05_01
179,4,1989,"Wintour, Anna",,"Azzedine Alaïa cotton and elastic dress, $510. Alaïa New York; Romanoff Boutique, Bal Harbour FL; Caron Cherry,",Patrick Demarchelier,1989_04_01
179,3,1989,"Wintour, Anna","Spring's less serious side, on cover model Carre Otis. Straw hat with bright lemon-print lining by Options for","For info, on hat, see pages 446-447.",Arthur Elgort,1989_03_01
179,1,1989,"Wintour, Anna","The basics for spring: on cover model Elaine Irwin-Poudre Majeur loose powder, Le Crayon brow definer in Taupe,",,Irving Penn,1989_02_01
179,1,1989,"Wintour, Anna","The new cover up: Laurent’s tuxedo jacket (another view, page 181), on model Karen Alexander. In hot weather:","Jacket, $1,825. Also at Saint Laurent Rive Gauche Boutique, Chevy Chase MD; I. Magnin. Bikini, $44. Barneys New York. Tiziana, Los",Peter Lindbergh,1989_01_01
178,12,1988,"Wintour, Anna","Vibrant color and minimal makeup-on cover models Linda Evangelista, left, and Carre Otis. Calvin Klein sweaters,","Left: Calvin Klein cashmere sweater, $580. Bloomingdale's; B. Barnett, Little Rock AR; Calvin Klein Boutique,",Peter Lindbergh,1988_12_01
178,11,1988,"Wintour, Anna",For fall: the impact of a jewel-studded Christian Lacroix jacket on model Michaela. With dressing as decorative as,,Peter Lindbergh,1988_11_01
178,10,1988,"Mirabella, Grace","Sheer color, sheer fun: A more relaxed P.M. style, on our cover, on model Kara Young. Here, an orange hit on","Wool dress, $1290. Saks Fifth Avenue; Greta, Beverly Hills. Beret at Altman's; Jordan Marsh, Boston; Carson Pirie Scott, Chicago. Earrings,",Richard Avedon,1988_10_01
178,9,1988,"Mirabella, Grace","As simple as makeup gets this fall, on our cover: softer color that works with any skin tone. Specifics, on Carrie","Calvin Klein wool/ spandex/nylon turtleneck, $165. Bloomingdale's; Nan Duskin, Philadelphia, Baltimore; Calvin",Richard Avedon,1988_09_01
178,7,1988,"Mirabella, Grace","A different appeal, a new color ""balance""--brighter fashion, a deeper ""neutral"" makeup--on model Stephanie","(cover): Wool coat, $890, and top, $460. Mid-August at Bergdorf Goodman.",Richard Avedon,1988_08_01
178,7,1988,"Mirabella, Grace","The fresh appeal of model Susan Miner, on our cover for the first time: good looks that are vibrant, uncontrived;","Earrings and necklace at Macy's, Herald Square.",Richard Avedon,1988_07_01
178,6,1988,"Mirabella, Grace","easy style!: Low-key, easy-going appeal describes one of the freshest new faces around: model Cathy Fedoruk,","Cotton terry-cloth shirt, $80. Paul Stuart. NYC.",Richard Avedon,1988_06_01
178,5,1988,"Mirabella, Grace","sensational...: …summer! Barely tanned skin, the sleekest healthy hair, less-than-serious earrings—a fresh start","Towel, Royal Touch by Cannon Royal Family. ""Seashell"" silicone earrings, Carol Motty at Artwear, NYC.",Richard Avedon,1988_05_01
178,4,1988,"Mirabella, Grace",A NEW SENSE...: Summer ease—and the healthy good looks that allow it—in this issue starts from a somewhat,"Shirt, Calvin Klein Men's Underwear, $9. Lord & Taylor. Pillbox, Hermès Boutique, NYC, Dallas, San Francisco.",Richard Avedon,1988_04_01
