label,avg_cycle_length,cycle_std,num_peaks,peak_lags,avg_popularity,trend,max_acf,series
appliqué,8.0,4.320493798938574,15,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",0.01202144392239194,-0.00033434180271737303,0.7265836015679745,"year
1935    0.042857
1936    0.016667
1937    0.011111
1938    0.019444
1939    0.027778
          ...   
2021    0.012121
2022    0.000000
2023    0.006667
2024    0.006667
2025    0.013333
Name: count, Length: 91, dtype: float64"
sash,3.5,1.707825127659933,6,"1, 2, 3, 4, 5, 6",0.01919508330590383,-0.00031622647760108614,0.5548091249599317,"year
1935    0.042857
1936    0.044444
1937    0.055556
1938    0.052778
1939    0.033333
          ...   
2021    0.006061
2022    0.000000
2023    0.006667
2024    0.000000
2025    0.013333
Name: count, Length: 91, dtype: float64"
snaps,,,0,,0.0009558695272980989,7.1427307452152195e-06,0.29358950789573257,"year
1935    0.004762
1936    0.000000
1937    0.000000
1938    0.002778
1939    0.000000
          ...   
2021    0.000000
2022    0.000000
2023    0.000000
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
visible pockets,,,0,,0.0041977465465533464,-8.318653558880784e-06,0.24271772282591975,"year
1935    0.009524
1936    0.002778
1937    0.002778
1938    0.002778
1939    0.008333
          ...   
2021    0.012121
2022    0.006061
2023    0.006667
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
tie,4.5,1.5,2,"3, 6",0.003030363930985049,-4.020744460928096e-05,0.34221303647085205,"year
1935    0.009524
1936    0.005556
1937    0.019444
1938    0.008333
1939    0.008333
          ...   
2021    0.012121
2022    0.000000
2023    0.006667
2024    0.006667
2025    0.000000
Name: count, Length: 91, dtype: float64"
frills,12.0,0.0,1,12,0.0009037831152901438,-1.866715026031086e-05,0.30755949081937906,"year
1935    0.009524
1936    0.005556
1937    0.000000
1938    0.002778
1939    0.008333
          ...   
2021    0.000000
2022    0.000000
2023    0.000000
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
ruffles,,,0,,0.003619757284353558,2.8356666487911428e-05,0.23072068102787976,"year
1935    0.009524
1936    0.005556
1937    0.002778
1938    0.008333
1939    0.002778
          ...   
2021    0.006061
2022    0.000000
2023    0.000000
2024    0.000000
2025    0.026667
Name: count, Length: 91, dtype: float64"
pleats,5.166666666666667,3.975620147292188,6,"1, 2, 3, 4, 9, 12",0.0042377881704459015,-0.00011265750934867015,0.4362473532384759,"year
1935    0.009524
1936    0.013889
1937    0.005556
1938    0.013889
1939    0.022222
          ...   
2021    0.000000
2022    0.000000
2023    0.000000
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
beading,,,0,,0.0025110968965169687,-2.596292917085447e-05,0.19209495382004896,"year
1935    0.009524
1936    0.000000
1937    0.000000
1938    0.011111
1939    0.011111
          ...   
2021    0.000000
2022    0.006061
2023    0.000000
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
embroidery,4.333333333333333,2.981423969999719,6,"1, 2, 3, 4, 6, 10",0.0014282337835786676,-6.797686428711062e-05,0.4786739198443942,"year
1935    0.014286
1936    0.002778
1937    0.000000
1938    0.013889
1939    0.011111
          ...   
2021    0.000000
2022    0.000000
2023    0.000000
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
