label,avg_cycle_length,cycle_std,num_peaks,peak_lags,avg_popularity,trend,max_acf,series
boxy,11.0,0.0,1,11,0.006816557699199086,2.3943899902700498e-05,0.3197204782389252,"year
1935    0.004762
1936    0.002778
1937    0.000000
1938    0.002778
1939    0.000000
          ...   
2021    0.006061
2022    0.000000
2023    0.006667
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
peplum,3.6666666666666665,1.9720265943665387,6,"1, 2, 3, 4, 5, 7",0.013669792546876561,0.00011745974395983163,0.4819854804045436,"year
1935    0.014286
1936    0.013889
1937    0.005556
1938    0.008333
1939    0.016667
          ...   
2021    0.024242
2022    0.000000
2023    0.006667
2024    0.000000
2025    0.026667
Name: count, Length: 91, dtype: float64"
wide-leg,8.066666666666666,4.434210439550904,15,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16",0.015346636703289205,0.00027311093510381905,0.6320798936524871,"year
1935    0.009524
1936    0.002778
1937    0.002778
1938    0.002778
1939    0.000000
          ...   
2021    0.036364
2022    0.030303
2023    0.026667
2024    0.040000
2025    0.000000
Name: count, Length: 91, dtype: float64"
empire waist,6.3,3.407345007480164,10,"1, 2, 3, 5, 6, 7, 8, 9, 10, 12",0.011241678181854712,0.00011661163655516266,0.5149320240142172,"year
1935    0.014286
1936    0.011111
1937    0.011111
1938    0.011111
1939    0.000000
          ...   
2021    0.024242
2022    0.012121
2023    0.020000
2024    0.006667
2025    0.013333
Name: count, Length: 91, dtype: float64"
wrap style,14.0,0.0,1,14,0.009661532817793035,0.00011172012161252747,0.3201900655333728,"year
1935    0.004762
1936    0.000000
1937    0.002778
1938    0.002778
1939    0.008333
          ...   
2021    0.000000
2022    0.000000
2023    0.013333
2024    0.006667
2025    0.013333
Name: count, Length: 91, dtype: float64"
flared,2.0,0.0,1,2,0.004041569862099447,3.093354672207286e-05,0.36594247372737276,"year
1935    0.009524
1936    0.011111
1937    0.008333
1938    0.005556
1939    0.019444
          ...   
2021    0.000000
2022    0.000000
2023    0.006667
2024    0.000000
2025    0.013333
Name: count, Length: 91, dtype: float64"
loose fit,,,0,,0.0035217586525203392,4.9556119748140445e-05,0.22491483184177244,"year
1935    0.000000
1936    0.005556
1937    0.005556
1938    0.000000
1939    0.005556
          ...   
2021    0.006061
2022    0.012121
2023    0.000000
2024    0.000000
2025    0.013333
Name: count, Length: 91, dtype: float64"
column fit,18.0,0.0,1,18,0.00038665038665038667,6.252470020585964e-06,0.3146533392210683,"year
1935    0.000000
1936    0.002778
1937    0.000000
1938    0.000000
1939    0.000000
          ...   
2021    0.000000
2022    0.000000
2023    0.000000
2024    0.000000
2025    0.000000
Name: count, Length: 91, dtype: float64"
bodycon,5.8,3.4292856398964493,10,"1, 2, 3, 4, 5, 6, 7, 8, 9, 13",0.004912923515407988,0.0001335409671893604,0.5314335817168053,"year
1935    0.000000
1936    0.002778
1937    0.000000
1938    0.000000
1939    0.000000
          ...   
2021    0.000000
2022    0.018182
2023    0.000000
2024    0.006667
2025    0.026667
Name: count, Length: 91, dtype: float64"
tailored fit,8.5,0.5,2,"8, 9",0.0003853875593006028,-1.7625376793618765e-06,0.30733408560087777,"year
1935    0.000000
1936    0.000000
1937    0.000000
1938    0.000000
1939    0.000000
          ...   
2021    0.000000
2022    0.000000
2023    0.000000
2024    0.000000
2025    0.013333
Name: count, Length: 91, dtype: float64"
